microcanonical number of states:
    E, kcal/mol          rxn_2          rxn_4          rxn_7          rxn_1          rxn_5
            173    2.07341e+34    8.42104e+11    8.16384e+11
            174    2.43472e+34    8.61008e+11    8.40966e+11
            175    2.85701e+34    8.80149e+11     8.6604e+11
            176    3.35021e+34    8.99527e+11    8.91609e+11
            177    3.92585e+34    9.19142e+11    9.17678e+11
            178    4.59726e+34    9.38993e+11    9.44251e+11
            179    5.37987e+34    9.59081e+11    9.71331e+11
            180     6.2915e+34    9.79405e+11    9.98922e+11
            181    7.35272e+34    9.99966e+11    1.02703e+12
            182     8.5873e+34    1.02076e+12    1.05565e+12
            183    1.00226e+35    1.04179e+12     1.0848e+12
            184    1.16903e+35    1.06306e+12    1.11447e+12
            185    1.36268e+35    1.08456e+12    1.14468e+12
            186     1.5874e+35     1.1063e+12    1.17541e+12
            187      1.848e+35    1.12827e+12    1.20668e+12
            188    2.15006e+35    1.15047e+12    1.23849e+12
            189    2.49993e+35    1.17291e+12    1.27085e+12
            190    2.90496e+35    1.19558e+12    1.30375e+12
            191    3.37355e+35    1.21848e+12     1.3372e+12
            192    3.91537e+35    1.24161e+12    1.37121e+12
            193    4.54149e+35    1.26498e+12    1.40577e+12
            194    5.26462e+35    1.28858e+12    1.44088e+12
            195     6.0993e+35     1.3124e+12    1.47657e+12
            196    7.06218e+35    1.33646e+12    1.51281e+12
            197    8.17235e+35    1.36074e+12    1.54963e+12
            198    9.45162e+35    1.38526e+12    1.58701e+12
            199    1.09249e+36       1.41e+12    1.62497e+12
well = w_2
    E, kcal/mol    D, mol/kcal       w_2->w_1       w_2->w_4      w_2->pr_2
              0    1.82799e+18              0         132.09    7.03517e-09
              1    3.45383e+18    1.10948e-12        276.495    7.65204e-06
